,id,name,adress,lat,lon,precode,areacode,category,category_flag
0,lc_00000_0,白倉峡,浜松市天竜区龍山町大嶺1279-3,34.990775152115376,137.7807397796154,22,22137,‐,1
1,pa_00000_0,沼津御用邸記念公園,沼津市下香貫島郷2802-1,35.071364236086964,138.8730419430435,22,22203,‐,2
2,pa_00001_0,熱海城,熱海市曽我山1993,35.086430846,139.07873231000002,22,22205,‐,2
3,pa_00002_0,山中城跡公園,三島市山中新田,35.15569421465754,138.99348023164384,22,22206,‐,2
4,pa_00003_0,城ヶ崎海岸,伊東市富戸,34.89159378916667,139.13878516833333,22,22208,‐,1
5,pa_00004_0,伊豆海洋公園・四季の花公園,伊東市富戸841-1,34.884665434545454,139.13233296363634,22,22208,‐,2
6,pa_00005_0,大川海岸,東伊豆町,34.843391679444444,139.07869165166667,22,22301,‐,1
7,pa_00006_0,河津バガテル公園,河津町,34.75260430461538,138.9816348,22,22302,‐,2
8,pa_00007_0,峰大噴湯公園,河津町,34.75719785166667,138.98227369,22,22302,‐,4
9,pa_00008_0,姫の沢公園,熱海市伊豆山字姫の沢1164,35.117209504,139.050307342,22,22205,‐,4
10,pa_00009_0,三島市立公園楽寿園,三島市,35.12357052678571,138.9116747675,22,22206,‐,2
11,pa_00010_0,伊豆シャボテン公園,伊東市富戸1317-13,34.907437208823524,139.10012716235292,22,22208,‐,2
12,pa_00011_0,伊豆ぐらんぱる公園,伊東市富戸1090,34.90524051727273,139.12253917636363,22,22208,‐,4
13,pa_00012_0,池尻海岸,東伊豆町,34.76679466714286,139.03632236228574,22,22301,‐,1
14,pa_00013_0,黄金崎公園,西伊豆町,34.842822672,138.76247876399998,22,22306,‐,1
15,pa_00014_0,柿田川公園,清水町,35.106576903714284,138.90067790628572,22,22341,‐,1
16,pa_00015_0,富士山本宮浅間大社,富士宮市,35.228607775,138.60988142624998,22,22207,‐,2
17,pa_00016_0,丸火自然公園,富士市大淵10847,35.232049982666666,138.723829372,22,22210,‐,4
18,pa_00017_0,岩本山公園,富士市岩本1605,35.17759527588235,138.6256714823529,22,22210,‐,4
19,pa_00018_0,竹採公園,富士市比奈2085-4,35.170314989999994,138.71677212823528,22,22210,‐,4
20,pa_00019_0,秩父宮記念公園,御殿場市,35.28856970411765,138.9509317852941,22,22215,‐,2
21,pa_00020_0,野田山健康緑地公園,富士市中之郷,35.14813177294118,138.59760612235297,22,22210,‐,1
22,pa_00021_0,御胎内清宏園,御殿場市,35.298200976000004,138.862742962,22,22215,‐,4
23,pa_00022_0,平和公園（御殿場市）,御殿場市,35.286655681,138.952308814,22,22215,‐,4
24,pa_00023_0,裾野市中央公園,裾野市千福7-1,35.18387237421052,138.90419881263156,22,22220,‐,4
25,pa_00024_0,久能山東照宮,静岡市駿河区根古屋390,34.9648303932,138.4675578524,22,22102,‐,2
26,pa_00025_0,吐月峰柴屋寺,静岡市駿河区丸子3316,34.955883561176464,138.3330283382353,22,22102,‐,2
27,pa_00026_0,静岡県舞台芸術公園,静岡市駿河区平沢100-1,34.98045024602409,138.44826774518071,22,22102,‐,1
28,pa_00027_0,船越堤公園,静岡市清水区船越,34.9980976509836,138.4669940632787,22,22103,‐,4
29,pa_00028_0,鉄舟寺,静岡市清水区村松2188,34.99276225362069,138.4829301748276,22,22103,‐,2
30,pa_00029_0,竜華寺,静岡市清水区村松2085,34.99048070923077,138.48450002153848,22,22103,‐,2
31,pa_00030_0,大井神社宮美殿,島田市大井町2316,34.83308417,138.17139618800002,22,22209,‐,1
32,pa_00031_0,焼津神社,焼津市焼津2-7-2,34.865039916956526,138.31363649478263,22,22212,‐,2
33,pa_00032_0,県営吉田公園,吉田町,34.764460628888884,138.28495787999998,22,22424,‐,4
34,pa_00033_0,府八幡宮,磐田市中泉112-1,34.71991625352941,137.8534551164706,22,22211,‐,2
35,pa_00034_0,見付天神社（矢奈比売神社）,磐田市見付1114-2,34.729904134761895,137.86406303619046,22,22211,‐,2
36,pa_00035_0,磐田市営つつじ公園,磐田市見付1010?2,34.73190244238096,137.8642475128571,22,22211,‐,4
37,pa_00036_0,竜洋昆虫自然観察公園,磐田市大中瀬320-1,34.669545343,137.83919567599997,22,22211,‐,2
38,pa_00037_0,竜洋海洋公園,磐田市駒場6866-27,34.65160446413793,137.80449680793106,22,22211,‐,4
